Meta_Topic_ID,Meta_Topic_Name,Stability_Rate(%),Total_Size
Meta-Topic_1,language_teachers_l2_practices_students,100.0,3485
Meta-Topic_2,emotions_l2_fle_positive_motivation,100.0,1092
Meta-Topic_3,vocabulary_word_words_knowledge_lexical,100.0,950
Meta-Topic_4,task_writing_complexity_l2_processes,100.0,859
Meta-Topic_5,speech_fluency_speakers_disfluency_pauses,100.0,771
Meta-Topic_6,processing_collocations_priming_l2_relative,100.0,622
Meta-Topic_7,ai_writing_chatgpt_feedback_genai,100.0,461
Meta-Topic_8,feedback_performance_learning_speaking_srl,100.0,490
Meta-Topic_9,conflict_cw_collaboration_writing_collaborative,100.0,444
Meta-Topic_11,phrasal_verbs_exercises_exercise_trialanderror,100.0,310
Meta-Topic_12,selfefficacy_effect_notetaking_achievement_writing,100.0,300
Meta-Topic_17,online_teaching_teacher_teachers_english,100.0,294
Meta-Topic_15,memory_learning_procedural_declarative_ability,100.0,277
Meta-Topic_16,gender_nouns_aob_agreement_noun,90.0,208
Meta-Topic_10,pronunciation_training_orthography_learners_feedback,80.0,318
Meta-Topic_14,reading_clil_mti_comprehension_nvi,50.0,114
Meta-Topic_13,learning_words_language_bilinguals_l1,50.0,147
Meta-Topic_19,reading_l1_learning_language_clil,50.0,386
Meta-Topic_18,heritage_meanings_stancetaking_pragmatic_korean,20.0,40
