Reference_Topic_ID (Run 1),Reference_Topic_Name,Reproduction_Rate (%)
1,1_vocabulary_word_words_knowledge,100.0
4,4_reading_comprehension_listening_clil,100.0
10,10_selfefficacy_english_effect_notetaking,100.0
11,11_memory_learning_procedural_working,100.0
6,6_fluency_speech_disfluency_pauses,100.0
20,20_online_teaching_technology_teacher,100.0
19,19_gender_nouns_agreement_heritage,100.0
15,15_learning_words_language_l1,100.0
9,9_pronunciation_training_orthography_feedback,100.0
18,18_phrasal_exercises_verbs_exercise,100.0
13,13_autonomy_practices_literacy_dmc,100.0
5,5_teachers_teacher_beliefs_practices,66.7
0,0_emotions_students_positive_learning,55.6
7,7_languages_language_basque_multilingualism,55.6
2,2_processing_collocations_l2_priming,33.3
12,12_task_complexity_writing_processes,33.3
8,8_ai_writing_chatgpt_feedback,33.3
14,14_language_spanish_ideologies_racialized,11.1
3,3_interaction_lres_learners_peer,0.0
16,16_task_engagement_tasks_learners,0.0
17,17_texts_complexity_essays_features,0.0
